time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,lastYearRptDt,lastYearEPS
time-not-supplied,AMZN,"Amazon.com, Inc.","$1,854,579,933,816",Jun/2021,$12.16,13,07/30/2020,$10.30
time-pre-market,MA,Mastercard Incorporated,"$380,274,830,853",Jun/2021,$1.71,15,07/30/2020,$1.36
time-pre-market,CMCSA,Comcast Corporation,"$265,641,801,254",Jun/2021,$0.67,16,07/30/2020,$0.69
time-pre-market,MRK,"Merck & Company, Inc.","$196,513,049,630",Jun/2021,$1.51,5,07/31/2020,$1.37
time-pre-market,AZN,Astrazeneca PLC,"$159,134,240,750",Jun/2021,$0.46,3,07/30/2020,$0.48
time-pre-market,RDS.A,Royal Dutch Shell PLC,"$157,475,728,646",Jun/2021,$1.09,3,07/30/2020,$0.16
time-pre-market,RDS.B,Royal Dutch Shell PLC,"$153,103,571,579",Jun/2021,,0,NA,$0.16
time-not-supplied,BUD,Anheuser-Busch Inbev SA,"$137,510,429,813",Jun/2021,$1.21,1,07/30/2020,$0.46
time-pre-market,SNY,Sanofi,"$130,939,797,206",Jun/2021,$0.81,3,07/29/2020,$0.65
time-pre-market,AMT,American Tower Corporation (REIT),"$126,646,499,997",Jun/2021,$2.26,5,07/30/2020,$2.07
time-not-supplied,TTE,TotalEnergies SE,"$115,563,957,148",Jun/2021,$1.06,3,07/30/2020,$0.02
time-not-supplied,VALE,VALE S.A.,"$114,687,019,081",Jun/2021,$1.51,3,07/30/2020,$0.22
time-pre-market,SPGI,S&P Global Inc.,"$98,516,055,000",Jun/2021,$3.26,7,07/28/2020,$3.40
time-pre-market,MO,Altria Group,"$86,683,882,702",Jun/2021,$1.17,6,07/28/2020,$1.09
time-not-supplied,GILD,"Gilead Sciences, Inc.","$85,296,657,069",Jun/2021,$1.73,9,07/30/2020,$1.11
time-after-hours,TWLO,Twilio Inc.,"$67,223,558,155",Jun/2021,($0.69),5,08/04/2020,($0.45)
time-pre-market,ICE,Intercontinental Exchange Inc.,"$66,794,667,460",Jun/2021,$1.18,0,NA,$1.07
time-after-hours,TEAM,Atlassian Corporation Plc,"$65,301,130,617",Jun/2021,($0.09),6,07/30/2020,($0.06)
time-pre-market,SO,Southern Company (The),"$64,936,387,815",Jun/2021,$0.78,4,07/30/2020,$0.78
time-pre-market,NOC,Northrop Grumman Corporation,"$59,135,538,207",Jun/2021,$5.75,7,07/30/2020,$6.01
time-not-supplied,F,Ford Motor Company,"$57,559,513,098",Jun/2021,($0.27),4,07/30/2020,($0.35)
time-not-supplied,ABEV,Ambev S.A.,"$54,134,960,702",Jun/2021,$0.02,1,07/30/2020,$0.01
time-not-supplied,BBD,Banco Bradesco Sa,"$51,530,559,889",Jun/2021,$0.12,3,07/30/2020,$0.07
time-not-supplied,VRTX,Vertex Pharmaceuticals Incorporated,"$51,340,828,529",Jun/2021,$2.25,7,07/30/2020,$2.26
time-pre-market,KDP,Keurig Dr Pepper Inc.,"$49,638,146,981",Jun/2021,$0.37,7,07/30/2020,$0.33
time-pre-market,TRP,TC Energy Corporation,"$48,812,940,000",Jun/2021,$0.80,3,07/30/2020,$0.67
time-after-hours,KLAC,KLA Corporation ,"$47,764,136,400",Jun/2021,$3.94,6,08/03/2020,$2.73
time-after-hours,PINS,"Pinterest, Inc.","$45,924,044,258",Jun/2021,($0.11),1,07/31/2020,($0.17)
time-not-supplied,LYG,Lloyds Banking Group Plc,"$45,415,912,209",Jun/2021,,0,07/30/2020,($0.12)
time-not-supplied,BBDO,Banco Bradesco Sa,"$44,795,237,746",Jun/2021,,0,NA,$0.07
time-after-hours,DLR,"Digital Realty Trust, Inc.","$43,784,070,229",Jun/2021,$1.58,6,07/30/2020,$1.54
time-after-hours,DXCM,"DexCom, Inc.","$43,168,534,648",Jun/2021,$0.44,10,07/28/2020,$0.79
time-not-supplied,CARR,Carrier Global Corporation,"$42,726,649,997",Jun/2021,$0.55,7,07/30/2020,$0.33
time-not-supplied,DD,"DuPont de Nemours, Inc.","$42,081,815,930",Jun/2021,$0.94,5,07/30/2020,$0.70
time-after-hours,FTNT,"Fortinet, Inc.","$41,979,169,270",Jun/2021,$0.61,8,08/06/2020,$0.58
time-not-supplied,ALXN,"Alexion Pharmaceuticals, Inc.","$41,105,156,395",Jun/2021,$3.16,5,07/30/2020,$2.87
time-pre-market,BAX,Baxter International Inc.,"$40,776,268,112",Jun/2021,$0.74,8,07/30/2020,$0.64
time-not-supplied,BBVA,Banco Bilbao Viscaya Argentaria S.A.,"$40,425,511,540",Jun/2021,,0,07/30/2020,$0.09
time-pre-market,HSY,Hershey Company (The),"$36,416,885,976",Jun/2021,$1.41,7,07/23/2020,$1.31
time-pre-market,XEL,Xcel Energy Inc.,"$36,372,015,544",Jun/2021,$0.55,4,07/30/2020,$0.54
time-after-hours,RSG,"Republic Services, Inc.","$35,926,352,412",Jun/2021,$0.93,9,08/06/2020,$0.81
time-not-supplied,YUM,"Yum! Brands, Inc.","$34,881,246,004",Jun/2021,$0.95,8,07/30/2020,$0.82
time-pre-market,STM,STMicroelectronics N.V.,"$34,475,586,428",Jun/2021,$0.38,2,07/23/2020,$0.10
time-pre-market,HLT,Hilton Worldwide Holdings Inc.,"$34,387,773,318",Jun/2021,$0.34,7,08/06/2020,($0.61)
time-after-hours,MTD,"Mettler-Toledo International, Inc.","$33,558,926,271",Jun/2021,$7.63,3,07/30/2020,$5.29
time-not-supplied,XLNX,"Xilinx, Inc.","$32,937,647,956",Jun/2021,$0.82,6,07/30/2020,$0.65
time-not-supplied,CHT,"Chunghwa Telecom Co., Ltd.","$31,619,352,097",Jun/2021,,0,07/30/2020,$0.37
time-pre-market,MT,ArcelorMittal,"$31,558,159,115",Jun/2021,,0,07/30/2020,($0.30)
time-pre-market,VLO,Valero Energy Corporation,"$28,805,328,827",Jun/2021,$0.44,4,07/30/2020,($1.25)
time-not-supplied,AJG,Arthur J. Gallagher & Co.,"$28,695,813,397",Jun/2021,$1.10,7,07/30/2020,$0.94
time-not-supplied,ES,Eversource Energy,"$28,483,648,814",Jun/2021,$0.81,5,07/30/2020,$0.76
time-not-supplied,GNRC,Generac Holdlings Inc.,"$28,029,249,398",Jun/2021,$2.35,8,07/30/2020,$1.40
time-pre-market,CBRE,"CBRE Group, Inc.","$27,923,338,274",Jun/2021,$0.72,3,07/31/2020,$0.35
time-pre-market,LH,Laboratory Corporation of America Holdings,"$27,327,667,000",Jun/2021,$5.64,7,07/28/2020,$2.57
time-after-hours,SGEN,Seagen Inc. ,"$26,110,921,694",Jun/2021,($0.59),10,07/30/2020,($0.54)
time-not-supplied,TEF,Telefonica SA,"$24,720,448,832",Jun/2021,,0,07/30/2020,$0.13
