time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,lastYearRptDt,lastYearEPS
time-after-hours,NFLX,"Netflix, Inc.","$240,745,515,511",Jun/2021,$3.16,22,07/16/2020,$1.59
time-pre-market,PM,Philip Morris International Inc,"$154,778,309,172",Jun/2021,$1.54,6,07/21/2020,$1.29
time-after-hours,ISRG,"Intuitive Surgical, Inc.","$112,925,634,770",Jun/2021,$2.75,3,07/21/2020,$0.57
time-after-hours,CNI,Canadian National Railway Company,"$74,420,797,037",Jun/2021,$1.20,7,07/21/2020,$0.92
time-pre-market,HCA,"HCA Healthcare, Inc.","$72,840,100,095",Jun/2021,$3.17,9,07/22/2020,$1.50
time-pre-market,UBS,UBS AG,"$50,598,724,553",Jun/2021,,0,07/21/2020,$0.33
time-after-hours,CMG,"Chipotle Mexican Grill, Inc.","$44,530,116,710",Jun/2021,$6.46,14,07/22/2020,$0.40
time-pre-market,TRV,"The Travelers Companies, Inc.","$39,122,966,239",Jun/2021,$2.35,7,07/23/2020,($0.20)
time-pre-market,SYF,Synchrony Financial,"$27,753,896,978",Jun/2021,$1.51,6,07/21/2020,$0.06
time-after-hours,IBKR,"Interactive Brokers Group, Inc.","$26,619,461,468",Jun/2021,$0.83,2,07/21/2020,$0.57
time-pre-market,DOV,Dover Corporation,"$22,402,279,886",Jun/2021,$1.83,7,07/22/2020,$1.13
time-after-hours,AGR,"Avangrid, Inc.","$20,714,713,471",Jun/2021,$0.47,4,07/21/2020,$0.32
time-not-supplied,TER,"Teradyne, Inc.","$20,472,372,104",Jun/2021,$1.74,7,07/21/2020,$1.33
time-pre-market,KEY,KeyCorp,"$19,565,671,870",Jun/2021,$0.55,7,07/22/2020,$0.16
time-pre-market,CFG,"Citizens Financial Group, Inc.","$19,120,004,837",Jun/2021,$1.14,7,07/17/2020,$0.55
time-pre-market,ALLY,Ally Financial Inc.,"$18,912,122,834",Jun/2021,$1.49,7,07/17/2020,$0.61
time-pre-market,HAL,Halliburton Company,"$18,408,284,165",Jun/2021,$0.22,11,07/20/2020,$0.05
time-after-hours,XM,Qualtrics International Inc.,"$18,017,853,610",Jun/2021,($0.44),4,NA,NA
time-not-supplied,KB,KB Financial Group Inc,"$17,747,843,959",Jun/2021,,0,07/21/2020,$2.04
time-pre-market,OMC,Omnicom Group Inc.,"$16,890,292,946",Jun/2021,$1.33,2,07/28/2020,$0.92
time-after-hours,UAL,"United Airlines Holdings, Inc.","$15,439,469,598",Jun/2021,($4.11),19,07/21/2020,($9.31)
time-pre-market,SBNY,Signature Bank,"$14,387,176,373",Jun/2021,$3.11,18,07/21/2020,$2.21
time-not-supplied,NEOG,Neogen Corporation,"$13,390,417,193",May/2021,$0.16,1,07/21/2020,$0.16
time-after-hours,PNFP,"Pinnacle Financial Partners, Inc.","$6,755,705,310",Jun/2021,$1.44,6,07/21/2020,$0.89
time-pre-market,SNV,Synovus Financial Corp.,"$6,527,993,826",Jun/2021,$1.03,10,07/21/2020,$0.23
time-pre-market,MAN,ManpowerGroup,"$6,300,447,177",Jun/2021,$1.42,5,07/20/2020,$0.18
time-after-hours,RXN,Rexnord Corporation,"$6,091,407,532",Jun/2021,$0.49,4,07/28/2020,$0.36
time-pre-market,IRDM,Iridium Communications Inc,"$4,944,056,122",Jun/2021,($0.08),3,07/28/2020,($0.09)
