time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,lastYearRptDt,lastYearEPS
time-after-hours,AAPL,Apple Inc.,"$2,585,864,261,000",Jun/2021,$1,10,07/30/2020,$0.64
time-after-hours,MSFT,Microsoft Corporation,"$2,127,745,126,403",Jun/2021,$1.90,13,07/22/2020,$1.46
time-after-hours,GOOG,Alphabet Inc.,"$1,770,338,183,778",Jun/2021,$19.63,14,07/30/2020,$10.13
time-after-hours,GOOGL,Alphabet Inc.,"$1,718,795,886,458",Jun/2021,$19.63,14,07/30/2020,$10.13
time-after-hours,V,Visa Inc.,"$524,645,837,150",Jun/2021,$1.32,15,07/28/2020,$1.06
time-pre-market,UPS,"United Parcel Service, Inc.","$184,143,762,570",Jun/2021,$2.71,8,07/30/2020,$2.13
time-after-hours,SBUX,Starbucks Corporation,"$141,160,340,000",Jun/2021,$0.76,10,07/28/2020,($0.46)
time-pre-market,RTX,Raytheon Technologies Corporation,"$128,646,280,861",Jun/2021,$0.92,5,07/28/2020,$0.40
time-pre-market,MMM,3M Company,"$117,575,480,655",Jun/2021,$2.20,6,07/28/2020,$1.78
time-pre-market,GE,General Electric Company,"$112,454,391,210",Jun/2021,$0.04,5,07/29/2020,($0.15)
time-after-hours,AMD,"Advanced Micro Devices, Inc.","$108,197,617,912",Jun/2021,$0.48,11,07/28/2020,$0.13
time-after-hours,SYK,Stryker Corporation,"$98,466,822,257",Jun/2021,$2.11,12,07/30/2020,$0.64
time-after-hours,MDLZ,"Mondelez International, Inc.","$89,213,209,836",Jun/2021,$0.64,10,07/28/2020,$0.63
time-after-hours,CB,Chubb Limited,"$73,888,658,378",Jun/2021,$2.93,7,07/28/2020,($0.56)
time-pre-market,SHW,Sherwin-Williams Company (The),"$73,649,423,004",Jun/2021,$2.68,7,07/28/2020,$2.37
time-pre-market,FISV,"Fiserv, Inc.","$72,622,571,980",Jun/2021,$1.29,14,08/05/2020,$0.93
time-pre-market,ECL,Ecolab Inc.,"$61,119,118,395",Jun/2021,$1.18,9,07/28/2020,$0.65
time-pre-market,WM,"Waste Management, Inc.","$60,782,104,167",Jun/2021,$1.18,8,07/30/2020,$0.88
time-pre-market,BSX,Boston Scientific Corporation,"$60,729,729,942",Jun/2021,$0.37,12,07/29/2020,$0.08
time-not-supplied,SCCO,Southern Copper Corporation,"$49,322,074,562",Jun/2021,$1.09,3,07/28/2020,$0.34
time-pre-market,IQV,"IQVIA Holdings, Inc.","$47,148,648,804",Jun/2021,$1.92,6,07/22/2020,$1.03
time-not-supplied,EBAY,eBay Inc.,"$46,346,229,097",Jun/2021,$0.78,7,07/28/2020,$0.94
time-pre-market,MSCI,MSCI Inc,"$45,760,229,387",Jun/2021,$2.30,5,07/28/2020,$1.77
time-pre-market,CNC,Centene Corporation,"$42,988,344,499",Jun/2021,$1.41,8,07/28/2020,$2.40
time-pre-market,GLW,Corning Incorporated,"$34,701,304,472",Jun/2021,$0.51,5,07/28/2020,$0.25
time-after-hours,CSGP,"CoStar Group, Inc.","$33,913,111,385",Jun/2021,$0.20,3,07/28/2020,$0.22
time-pre-market,ROK,"Rockwell Automation, Inc.","$33,880,465,736",Jun/2021,$2.06,7,07/28/2020,$1.27
time-pre-market,SWK,"Stanley Black & Decker, Inc.","$33,261,462,211",Jun/2021,$2.85,6,07/30/2020,$1.60
time-pre-market,ADM,Archer-Daniels-Midland Company,"$32,840,510,025",Jun/2021,$0.96,5,07/29/2020,$0.85
time-after-hours,EQR,Equity Residential,"$30,952,685,166",Jun/2021,$0.70,9,07/28/2020,$0.86
time-pre-market,PCAR,PACCAR Inc.,"$30,462,973,836",Jun/2021,$1.38,7,07/21/2020,$0.43
time-not-supplied,ZBRA,Zebra Technologies Corporation,"$28,368,456,725",Jun/2021,$3.89,2,07/28/2020,$2.16
time-after-hours,MXIM,"Maxim Integrated Products, Inc.","$26,857,834,492",Jun/2021,$0.86,9,07/28/2020,$0.58
time-pre-market,SIRI,Sirius XM Holdings Inc.,"$26,589,979,383",Jun/2021,$0.07,5,07/30/2020,$0.05
